,_id,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,bonusPointsEarnedReason,purchaseDate,rewardsReceiptStatus,totalSpent,purchasedItemCount,userId
0,5ff1e1eb0a720f0523000575,1609687531000,1609687531000,1609687531000.0,1609687536000,1609687531000.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609632000000.0,FINISHED,26.0,5.0,5ff1e1eacfcf6c399c274ae6
1,5ff1e1bb0a720f052300056b,1609687483000,1609687483000,1609687483000.0,1609687488000,1609687483000.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609601083000.0,FINISHED,11.0,2.0,5ff1e194b6a9d73a3a9f1052
2,5ff1e1f10a720f052300057a,1609687537000,1609687537000,,1609687542000,,All-receipts receipt bonus,1609632000000.0,REJECTED,10.0,1.0,5ff1e1f1cfcf6c399c274b0b
3,5ff1e1ee0a7214ada100056f,1609687534000,1609687534000,1609687534000.0,1609687539000,1609687534000.0,All-receipts receipt bonus,1609632000000.0,FINISHED,28.0,4.0,5ff1e1eacfcf6c399c274ae6
4,5ff1e1d20a7214ada1000561,1609687506000,1609687506000,1609687511000.0,1609687511000,1609687506000.0,All-receipts receipt bonus,1609601106000.0,FINISHED,1.0,2.0,5ff1e194b6a9d73a3a9f1052
5,5ff1e1e40a7214ada1000566,1609687524000,1609687524000,1609687525000.0,1609687530000,1609687525000.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609601124000.0,FINISHED,3.25,1.0,5ff1e1e4cfcf6c399c274ac3
6,5ff1e1cd0a720f052300056f,1609687501000,1609687501000,1609687502000.0,1609687502000,1609687502000.0,All-receipts receipt bonus,1609687501000.0,FINISHED,2.23,1.0,5ff1e194b6a9d73a3a9f1052
7,5ff1e1a40a720f0523000569,1609687460000,1609687460000,1609687461000.0,1609687461000,1609687461000.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609027200000.0,FINISHED,10.0,1.0,5ff1e194b6a9d73a3a9f1052
8,5ff1e1ed0a7214ada100056e,1609687533000,1609687533000,1609687534000.0,1609687538000,1609687534000.0,All-receipts receipt bonus,1609632000000.0,FINISHED,20.0,5.0,5ff1e1eacfcf6c399c274ae6
9,5ff1e1eb0a7214ada100056b,1609687531000,1609687531000,1609687531000.0,1609687536000,1609687531000.0,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609632000000.0,FINISHED,20.0,3.0,5ff1e1eacfcf6c399c274ae6
10,5ff1e1c50a720f052300056c,1609687493000,1609687493000,1609687493000.0,1609687493000,1609687493000.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609601093000.0,FINISHED,1.0,1.0,5ff1e194b6a9d73a3a9f1052
11,5ff1e1a10a720f0523000568,1609687457000,1609687457000,1609688360000.0,1609688360000,1609687459000.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609545600000.0,FINISHED,50.0,5.0,5ff1e194b6a9d73a3a9f1052
12,5ff1e1b60a7214ada100055c,1609687478000,1609687478000,,1609687478000,,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1612365878000.0,FLAGGED,290.0,10.0,5ff1e194b6a9d73a3a9f1052
13,5f9c74f70a7214ad07000037,1604089079000,1604089079000,,1609687494000,1604089080000.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1604002679000.0,REJECTED,1.0,11.0,5f9c74f7c88c1415cbddb839
14,5ff1e1b20a7214ada100055a,1609687474000,1609687474000,1609687475000.0,1609687475000,1609687475000.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1612365875000.0,FINISHED,1.0,1.0,5ff1e194b6a9d73a3a9f1052
15,5ff1e1e90a7214ada1000569,1609687529000,1609687529000,,1609687529000,,,,FLAGGED,0.0,0.0,5ff1e1e9b6a9d73a3a9f10f6
16,5ff1e1df0a7214ada1000564,1609687519000,1609687519000,1609687520000.0,1609687525000,1609687519000.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609601119000.0,FINISHED,11.0,2.0,5ff1e1dfcfcf6c399c274ab3
17,5ff1e1b40a7214ada100055b,1609687476000,1609687476000,,1609687477000,1609687476000.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609601076000.0,FLAGGED,1.0,1.0,5ff1e1b4cfcf6c399c274a54
18,5ff1e1eb0a720f0523000576,1609687531000,1609687531000,1609687532000.0,1609687536000,1609687532000.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1609632000000.0,FINISHED,26.0,2.0,5ff1e1eacfcf6c399c274ae6
